id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-10-14T10:24:56;payment unleash Jamaican Dollar;1
2;Rest;2020-10-15T05:41:26;Plains;2
3;Quality Plastic plum;2020-10-14T10:01:48;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-10-15T06:29:00;Architect SSL;4
5;zero tolerance;2020-10-15T03:25:19;user-facing CSS;5
6;ADP Ouguiya;2020-10-14T23:21:47;Garden;6
7;auxiliary;2020-10-15T07:37:47;functionalities Bedfordshire withdrawal;7
8;Data;2020-10-14T10:35:48;Viaduct hybrid;8
9;mesh;2020-10-15T09:01:27;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-10-15T07:00:21;Re-engineered withdrawal Ball;10
