id;placed_date;status;code;customer_id
1;2020-10-15T00:58:46;COMPLETED;Georgia calculate withdrawal;1
2;2020-10-14T11:55:16;COMPLETED;compress Steel out-of-the-box;2
3;2020-10-14T13:26:28;PENDING;Concrete;3
4;2020-10-15T02:52:23;CANCELLED;Investment Account;4
5;2020-10-14T14:09:13;PENDING;United States of America;5
6;2020-10-15T04:21:17;CANCELLED;IB Industrial Credit Card Account;6
7;2020-10-15T07:27:42;CANCELLED;Cotton Egyptian Pound;7
8;2020-10-14T16:23:46;COMPLETED;Home Loan Account;8
9;2020-10-15T01:18:02;COMPLETED;Human;9
10;2020-10-14T11:26:40;CANCELLED;payment;10
